participant_id,programme,sample_role,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
S238,Masters,Development,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0
S239,Masters,Development,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
S240,Masters,Development,5.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0
S241,Doctoral,Validation,2.0,4.0,4.0,3.0,4.0,3.0,4.0,,3.0,3.0,4.0,5.0
S242,Doctoral,Development,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,
S243,Masters,Validation,4.0,4.0,3.0,5.0,3.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0
S244,Masters,Validation,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
S245,Masters,Development,3.0,3.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0
S246,Doctoral,Development,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0
S247,Masters,Development,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,1.0
S248,Doctoral,Development,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0
S249,Masters,Development,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
S250,Masters,Development,2.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,,1.0,3.0,1.0
S251,Masters,Development,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0
S252,Doctoral,Validation,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0
S253,Masters,Validation,2.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,1.0,4.0,3.0,3.0
S254,Masters,Validation,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0
S255,Masters,Development,2.0,3.0,4.0,3.0,,3.0,5.0,2.0,3.0,2.0,,2.0
S256,Masters,Development,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0
S257,Masters,Development,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0
S258,Masters,Validation,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
S259,Masters,Validation,4.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0
S260,Masters,Validation,3.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0
S261,Masters,Development,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0
S262,Masters,Validation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0
S263,Masters,Development,4.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0
S264,Masters,Validation,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,5.0
S265,Masters,Development,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,4.0
S266,Masters,Development,1.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0
S267,Masters,Development,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,5.0,1.0,3.0
S268,Doctoral,Validation,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0
S269,Doctoral,Validation,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
S270,Masters,Development,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0
S271,Masters,Development,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0
S272,Doctoral,Validation,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0
S273,Masters,Validation,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,4.0
S274,Masters,Development,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
S275,Masters,Development,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0
S276,Doctoral,Validation,5.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0
S277,Doctoral,Development,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
S278,Masters,Development,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0
S279,Masters,Development,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0
S280,Masters,Validation,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
S281,Doctoral,Development,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
S282,Doctoral,Validation,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0
S283,Doctoral,Validation,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0
S284,Doctoral,Development,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,3.0,3.0,4.0
S285,Masters,Development,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0
S286,Doctoral,Development,4.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0
S287,Doctoral,Development,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0
S288,Masters,Validation,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0
S289,Masters,Development,5.0,5.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0
S290,Masters,Development,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0
S291,Doctoral,Development,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0
S292,Doctoral,Validation,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0
S293,Masters,Development,2.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0
S294,Masters,Development,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0
S295,Masters,Validation,4.0,5.0,1.0,2.0,2.0,,3.0,3.0,3.0,2.0,1.0,2.0
S296,Doctoral,Development,3.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0
S297,Doctoral,Development,4.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0
S298,Masters,Development,2.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0
S299,Masters,Development,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,2.0,2.0
S300,Doctoral,Validation,5.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0
S301,Masters,Development,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0
S302,Masters,Development,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,,4.0,4.0,3.0
S303,Masters,Validation,4.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0
S304,Doctoral,Validation,2.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0
S305,Masters,Development,1.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0
S306,Doctoral,Validation,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0
S307,Masters,Development,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0
S308,Masters,Validation,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,4.0
S309,Masters,Development,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0
S310,Masters,Validation,2.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0
S311,Masters,Validation,4.0,2.0,3.0,4.0,,2.0,2.0,5.0,5.0,2.0,3.0,2.0
S312,Masters,Development,2.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0
S313,Masters,Validation,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0
S314,Doctoral,Development,3.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0
S315,Doctoral,Validation,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0
S316,Masters,Validation,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
S317,Masters,Development,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0
S318,Masters,Development,4.0,5.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0
S319,Masters,Development,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,2.0
S320,Masters,Development,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0
S321,Masters,Development,2.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0
S322,Masters,Validation,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0
S323,Masters,Development,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0
S324,Masters,Development,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0
S325,Masters,Validation,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,2.0
S326,Doctoral,Validation,3.0,4.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,2.0,3.0,3.0
S327,Masters,Development,3.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0
S328,Doctoral,Development,1.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0
S329,Masters,Development,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0
S330,Masters,Validation,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0
S331,Masters,Development,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0
S332,Doctoral,Validation,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,1.0
S333,Masters,Development,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0
S334,Masters,Validation,5.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0
S335,Masters,Validation,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
S336,Doctoral,Validation,3.0,,4.0,4.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0
S337,Doctoral,Development,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0
S338,Masters,Validation,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0
S339,Masters,Validation,3.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0
S340,Doctoral,Development,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0
S341,Doctoral,Development,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0
S342,Masters,Validation,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0
S343,Masters,Development,3.0,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0
S344,Masters,Development,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0
S345,Doctoral,Development,3.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,3.0
S346,Doctoral,Development,4.0,5.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0
S347,Masters,Development,3.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,5.0,3.0
S348,Doctoral,Development,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0
S349,Masters,Development,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
S350,Doctoral,Development,4.0,3.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0
S351,Masters,Development,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0
S352,Masters,Development,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,2.0
S353,Masters,Validation,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0
S354,Masters,Validation,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0
S355,Masters,Validation,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0
S356,Masters,Development,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0
S357,Masters,Validation,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0
S358,Masters,Validation,1.0,,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
S359,Masters,Validation,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
S360,Masters,Validation,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0
